frequency,db,amplitude
1000,80,0.381405052
1000,70,0.128251245
1000,60,0.038435872
1000,50,0.012924445
1000,40,0.003873353
1000,30,0.001224862
2000,80,0.298774558
2000,70,0.100465919
2000,60,0.030108832
2000,50,0.010124395
2000,40,0.002704234
2000,30,0.000855154
4000,80,0.363158015
4000,70,0.122115497
4000,60,0.036597038
4000,50,0.012306118
4000,40,0.003688045
4000,30,0.001166262
8000,80,0.307082017
8000,70,0.103259385
8000,60,0.030946012
8000,50,0.010405904
8000,40,0.003499089
8000,30,0.001106509
16000,80,0.283268211
16000,70,0.084893217
16000,60,0.028546189
16000,50,0.005397881
16000,40,0.00170696
16000,30,0.000539788
32000,80,0.332374445
32000,70,0.099609962
32000,60,0.029852309
32000,50,0.008946498
32000,40,0.002829131
32000,30,0.00089465
